placekey,location_name,lat,lng,id_num
226-222@5z5-pn8-rzf,Burger King,32.8201,-117.173,403
zzw-222@5z4-zxg-rkz,Burger King,33.9927,-118.443,404
222-222@5s5-wj5-nkf,Burger King,42.2755,-83.7777,405
222-222@5z5-3ky-zvf,Burger King,34.1,-118.074,406
228-222@63v-46j-52k,Burger King,42.5216,-83.1894,407
222-222@63g-73t-qzz,Burger King,35.9324,-79.0249,408
22f-222@63q-rtb-grk,Burger King,42.9285,-78.7539,409
222-222@5qv-x55-w6k,Burger King,32.9514,-96.89,410
zzw-222@647-3mv-jqf,Burger King,35.7312,-78.6503,411
222-222@63f-kv6-9zz,Burger King,35.8207,-78.6274,412
224-222@5qv-v8f-89z,Burger King,32.8638,-96.6829,413
223-222@63v-4vc-5j9,Burger King,42.6395,-83.3538,414
22x-222@627-ryv-btv,Burger King,40.7369,-73.7098,415
222-222@5s8-cwq-ndv,Burger King,45.1998,-93.3935,416
225-222@627-tdx-f4v,Burger King,40.6581,-73.6084,417
228-222@63v-46j-52k,Burger King,42.4796,-83.149,418
222-222@5p7-g89-grk,Burger King,45.5532,-94.1977,419
